First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Max Credit
Simba,Disney,24-Oct-12,12,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1011,2011,3011,1230.5,273.47,-1220.11
Alex,Avila,19-Oct-65,38,"500 W. University Ave El Paso TX 79968",(915) 747-5001,1037,2037,3037,4125.01,516.33,-1827.58
Pinocchio,Disney,20-Mar-08,30,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1029,2029,3029,1246.66,1412.45,-14.76
Stitch,Disney,3-Feb-28,36,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1035,2035,3035,358.07,4919.61,-16.87
Peter,Pan,29-May-87,15,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1014,2014,3014,41.62,2118.48,-1137.78
Jasmine,Disney,17-Nov-91,10,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1009,2009,3009,511.05000000000007,1028.1,-1797.38
Daniel,Y,12-Mar-84,102,"500 W. University Ave El Paso TX 79968",(915) 747-5065,1101,2101,3101,738.93,3810.87,-199.91
Daniel,Z,9-Aug-56,103,"500 W. University Ave El Paso TX 79968",(915) 747-5066,1102,2102,3102,1825.29,4635.0,-649.08
Judith,Garcia,7-Mar-97,63,"500 W. University Ave El Paso TX 79968",(915) 747-5026,1062,2062,3062,5752.37,3508.77,-444.56
Evil,Queen,19-Dec-42,29,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1028,2028,3028,238.09,4758.83,-367.09
Juan,Gutierrez,9-Jan-89,61,"500 W. University Ave El Paso TX 79968",(915) 747-5024,1060,2060,3060,4567.429999999999,3227.73,-1581.21
Daniel,Q,7-Feb-71,94,"500 W. University Ave El Paso TX 79968",(915) 747-5057,1093,2093,3093,498.13,205.32,-673.84
Juan,Rabelo,29-Apr-52,62,"500 W. University Ave El Paso TX 79968",(915) 747-5025,1061,2061,3061,5851.26,3641.52,-674.27
Daniel,R,20-Apr-94,95,"500 W. University Ave El Paso TX 79968",(915) 747-5058,1094,2094,3094,745.03,1288.97,-1040.57
Estevan,Ramos,15-Dec-36,52,"500 W. University Ave El Paso TX 79968",(915) 747-5015,1051,2051,3051,4760.91,2990.06,-860.87
Daniel,S,8-Jan-91,96,"500 W. University Ave El Paso TX 79968",(915) 747-5059,1095,2095,3095,1197.47,2944.12,-718.69
Daniel,T,22-Oct-92,97,"500 W. University Ave El Paso TX 79968",(915) 747-5060,1096,2096,3096,894.63,4884.23,-828.59
Isaiah,Landin,28-Feb-28,58,"500 W. University Ave El Paso TX 79968",(915) 747-5021,1057,2057,3057,5816.52,1639.67,-407.11
Daniel,U,27-May-88,98,"500 W. University Ave El Paso TX 79968",(915) 747-5061,1097,2097,3097,417.42,840.66,-978.33
Derek,Aguirre,5-May-41,49,"500 W. University Ave El Paso TX 79968",(915) 747-5012,1048,2048,3048,5880.03,3352.49,-58.57
Eduardo,Garcia,2-Jun-92,50,"500 W. University Ave El Paso TX 79968",(915) 747-5013,1049,2049,3049,5243.42,1259.1100000000001,-862.06
Joseph,Medina - Sandoval,18-Sep-36,60,"500 W. University Ave El Paso TX 79968",(915) 747-5023,1059,2059,3059,4903.51,3825.1099999999997,-678.52
Daniel,V,25-Aug-06,99,"500 W. University Ave El Paso TX 79968",(915) 747-5062,1098,2098,3098,1187.71,2405.55,-1052.86
Daniel,W,14-Jun-96,100,"500 W. University Ave El Paso TX 79968",(915) 747-5063,1099,2099,3099,1239.64,261.75,-470.23
Daniel,X,25-Nov-84,101,"500 W. University Ave El Paso TX 79968",(915) 747-5064,1100,2100,3100,122.74,4668.29,-817.67
Woody,Disney,2-Apr-95,16,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1015,2015,3015,134.02,2429.23,-1005.79
Daniel,I,23-Dec-35,87,"500 W. University Ave El Paso TX 79968",(915) 747-5050,1086,2086,3086,1927.47,2348.02,-1927.99
Daniel,J,20-Oct-43,88,"500 W. University Ave El Paso TX 79968",(915) 747-5051,1087,2087,3087,1924.71,2813.64,-986.39
Daniel,K,8-May-73,89,"500 W. University Ave El Paso TX 79968",(915) 747-5052,1088,2088,3088,1082.73,3471.09,-88.26
Minnie,Mouse,3-Nov-94,3,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1002,2002,3002,1864.66,233.36,-239.31
Daniel,L,19-Jul-98,90,"500 W. University Ave El Paso TX 79968",(915) 747-5053,1089,2089,3089,585.99,180.84,-777.42
Aladdin,Disney,11-Oct-28,11,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1010,2010,3010,115.62,3297.86,-1989.22
Daniel,N,4-Mar-59,91,"500 W. University Ave El Paso TX 79968",(915) 747-5054,1090,2090,3090,364.34,2226.15,-1623.03
Daniel,O,16-Sep-03,92,"500 W. University Ave El Paso TX 79968",(915) 747-5055,1091,2091,3091,1710.28,2761.08,-0.1
Daniel,P,16-Feb-03,93,"500 W. University Ave El Paso TX 79968",(915) 747-5056,1092,2092,3092,1069.19,3519.67,-1963.63
Daniel,A,5-Mar-39,79,"500 W. University Ave El Paso TX 79968",(915) 747-5042,1078,2078,3078,857.56,3364.79,-786.93
Daniel,B,25-Dec-18,80,"500 W. University Ave El Paso TX 79968",(915) 747-5043,1079,2079,3079,362.4,2413.6,-1911.51
Cinderella,Disney,3-Mar-47,8,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1007,2007,3007,829.73,2898.94,-4.16
Daniel,C,25-May-47,81,"500 W. University Ave El Paso TX 79968",(915) 747-5044,1080,2080,3080,909.74,342.74,-505.4
Daniel,D,7-Oct-01,82,"500 W. University Ave El Paso TX 79968",(915) 747-5045,1081,2081,3081,731.6,3235.49,-883.24
Daniel,E,17-Jun-72,83,"500 W. University Ave El Paso TX 79968",(915) 747-5046,1082,2082,3082,190.25,3689.98,-269.32
Alfredo,Rodriguez,14-Feb-02,40,"500 W. University Ave El Paso TX 79968",(915) 747-5003,1039,2039,3039,5823.37,3443.94,-1734.35
Daniel,F,24-Mar-86,84,"500 W. University Ave El Paso TX 79968",(915) 747-5047,1083,2083,3083,214.25,1020.81,-814.22
Gildardo,Orea,13-Mar-51,55,"500 W. University Ave El Paso TX 79968",(915) 747-5018,1054,2054,3054,4318.6900000000005,179.25,-1514.01
Daniel,G,18-Nov-77,85,"500 W. University Ave El Paso TX 79968",(915) 747-5048,1084,2084,3084,1930.6,3788.92,-1101.55
Shere,Khan,21-Nov-91,26,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1025,2025,3025,561.5699999999999,1735.62,-115.92
Daniel,H,2-May-37,86,"500 W. University Ave El Paso TX 79968",(915) 747-5049,1085,2085,3085,1326.34,3465.11,-1977.56
Sofia,Hernandez,20-Apr-52,74,"500 W. University Ave El Paso TX 79968",(915) 747-5037,1073,2073,3073,5515.79,752.64,-1721.04
Christopher,Reyes,4-May-89,46,"500 W. University Ave El Paso TX 79968",(915) 747-5009,1045,2045,3045,5363.7699999999995,4039.37,-444.4
Aurora,Disney,12-Jun-60,14,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1013,2013,3013,208.98000000000002,4806.74,-169.44
Scar,Lion,29-Jul-29,23,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1022,2022,3022,941.51,4250.009999999999,-140.99
Federico,Marin,18-Jan-09,53,"500 W. University Ave El Paso TX 79968",(915) 747-5016,1052,2052,3052,5929.63,2348.86,-267.18
Roberto,Carrasco,21-Oct-02,73,"500 W. University Ave El Paso TX 79968",(915) 747-5036,1072,2072,3072,5170.360000000001,2408.91,-160.0
Jose,Rodriguez Ortega,8-Sep-52,59,"500 W. University Ave El Paso TX 79968",(915) 747-5022,1058,2058,3058,4409.77,789.31,-405.22
Minh,Dang,21-Dec-09,70,"500 W. University Ave El Paso TX 79968",(915) 747-5033,1069,2069,3069,4623.42,1703.09,-1966.94
Cesar,Cabrera,22-Jun-89,45,"500 W. University Ave El Paso TX 79968",(915) 747-5008,1044,2044,3044,5835.080000000001,1685.66,-1906.17
Prince,Eric,10-Feb-05,31,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1030,2030,3030,1250.24,4448.0,-1413.12
Chip,Disney,25-Aug-05,6,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1005,2005,3005,32.84,3612.14,-1451.7
Gaston,Disney,11-Aug-09,25,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1024,2024,3024,168.24,801.27,-1264.11
Lidice,Castro Jimenez,27-Jan-84,66,"500 W. University Ave El Paso TX 79968",(915) 747-5029,1065,2065,3065,5942.67,682.51,-1930.17
Mulan,Disney,14-Oct-79,34,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1033,2033,3033,1737.78,1216.15,-397.68
Mickey,Mouse,25-Apr-92,1,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1000,2000,3000,185.15,4831.0,-1653.84
Cruella,De Vil,10-Mar-62,22,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1021,2021,3021,1032.9099999999999,4261.53,-319.71
Mufassa,Disney,19-Jan-09,13,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1012,2012,3012,115.14000000000001,3744.5800000000004,-1112.18
Donald,Duck,7-Apr-94,2,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1001,2001,3001,1901.12,3491.37,-1513.57
Hernan,Garcia,30-Mar-42,57,"500 W. University Ave El Paso TX 79968",(915) 747-5020,1056,2056,3056,4169.929999999999,3011.8,-990.67
Daniel,Mejia,29-Jan-36,78,"500 W. University Ave El Paso TX 79968",(915) 747-5041,1077,2077,3077,40887.119999999995,2051.62,-1231.96
Lilo,Disney,19-Jul-44,35,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1034,2034,3034,1763.47,1883.89,-1715.37
Dale,Disney,19-Aug-12,7,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1006,2006,3006,843.71,4008.8,-53.21
Laurence,Labayen,11-Mar-10,65,"500 W. University Ave El Paso TX 79968",(915) 747-5028,1064,2064,3064,5113.24,4572.26,-1064.52
Ursela,Mermaid,30-Jun-00,19,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1018,2018,3018,1333.17,1420.7900000000002,-1147.68
Nathan,Aun,6-Aug-94,76,"500 W. University Ave El Paso TX 79968",(915) 747-5039,1075,2075,3075,1352.3,132.29,-1240.71
Grecia,Navarrete,1-Aug-60,56,"500 W. University Ave El Paso TX 79968",(915) 747-5019,1055,2055,3055,5622.04,2767.49,-305.52
Khandoker,Rahad,15-Jun-57,77,"500 W. University Ave El Paso TX 79968",(915) 747-5040,1076,2076,3076,220.57,1902.09,-157.39
David,Baptiste,5-May-98,48,"500 W. University Ave El Paso TX 79968",(915) 747-5011,1047,2047,3047,5076.98,3320.18,-281.86
Brandon,Bustamante,17-Oct-53,44,"500 W. University Ave El Paso TX 79968",(915) 747-5007,1043,2043,3043,4380.55,3764.74,-1452.54
Anthony,Jasso,8-Dec-44,42,"500 W. University Ave El Paso TX 79968",(915) 747-5005,1041,2041,3041,4708.62,547.41,-530.31
